model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_PAR;                     result:ERROR; start:2023-09-30 14:32:49.930348; end:2023-09-30 14:33:01.136753.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_TOX;                     result:ERROR; start:2023-09-30 14:33:01.147216; end:2023-09-30 14:33:01.578805.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_SUM;                     result:ERROR; start:2023-09-30 14:33:01.657854; end:2023-09-30 14:33:02.362310.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_MGP;                     result:ERROR; start:2023-09-30 14:33:02.375693; end:2023-09-30 14:33:03.309289.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_UDM;                     result:0.9918075203895569; start:2023-09-30 14:34:12.364407; end:2023-09-30 14:34:12.876542.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_PAR;                     result:ERROR; start:2023-09-30 14:34:12.932093; end:2023-09-30 14:34:52.423416.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_TOX;                     result:ERROR; start:2023-09-30 14:34:52.433616; end:2023-09-30 14:34:52.628110.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_SUM;                     result:ERROR; start:2023-09-30 14:34:52.705801; end:2023-09-30 14:34:53.398934.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_MGP;                     result:ERROR; start:2023-09-30 14:34:53.412012; end:2023-09-30 14:34:54.197355.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_UDM;                     result:0.9918075203895569; start:2023-09-30 14:36:26.474889; end:2023-09-30 14:36:26.978558.
model:<class 'src.model_processors.MinilmModelProcessor'>; metric:calculate_UDM;                     result:0.5843728184700012; start:2023-09-30 14:36:40.549984; end:2023-09-30 14:36:42.393400.
model:<class 'src.model_processors.T5ModelProcessor'>; metric:calculate_UDM;                     result:0.8738642334938049; start:2023-09-30 14:36:54.793757; end:2023-09-30 14:36:57.177216.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_PAR;                     result:0.005922355689108372; start:2023-09-30 14:36:27.032415; end:2023-09-30 14:40:42.038834.
model:<class 'src.model_processors.MinilmModelProcessor'>; metric:calculate_PAR;                     result:0.2074686884880066; start:2023-09-30 14:36:42.449302; end:2023-09-30 14:41:25.413572.
model:<class 'src.model_processors.T5ModelProcessor'>; metric:calculate_PAR;                     result:0.10143023729324341; start:2023-09-30 14:36:57.231934; end:2023-09-30 14:41:54.094137.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_TOX;                     result:ERROR; start:2023-09-30 14:40:42.049032; end:2023-09-30 15:27:39.048837.
model:<class 'src.model_processors.MinilmModelProcessor'>; metric:calculate_TOX;                     result:ERROR; start:2023-09-30 14:41:25.423801; end:2023-09-30 15:29:56.511008.
model:<class 'src.model_processors.T5ModelProcessor'>; metric:calculate_TOX;                     result:ERROR; start:2023-09-30 14:41:54.104293; end:2023-09-30 15:32:07.491872.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_SUM;                     result:0.9971675872802734; start:2023-09-30 15:27:39.126771; end:2023-09-30 16:11:55.406348.
model:<class 'src.model_processors.MinilmModelProcessor'>; metric:calculate_SUM;                     result:0.7963613271713257; start:2023-09-30 15:29:56.590318; end:2023-09-30 16:13:35.036388.
model:<class 'src.model_processors.T5ModelProcessor'>; metric:calculate_SUM;                     result:0.7204415202140808; start:2023-09-30 15:32:07.569817; end:2023-09-30 16:14:32.785892.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_MGP;                     result:ERROR; start:2023-09-30 16:11:55.418638; end:2023-09-30 17:15:22.681626.
model:<class 'src.model_processors.MinilmModelProcessor'>; metric:calculate_MGP;                     result:ERROR; start:2023-09-30 16:13:35.048831; end:2023-09-30 17:19:33.774804.
model:<class 'src.model_processors.T5ModelProcessor'>; metric:calculate_MGP;                     result:ERROR; start:2023-09-30 16:14:32.798511; end:2023-09-30 17:22:44.176039.
model:<class 'src.model_processors.E5ModelProcessor'>; metric:calculate_UDM;                     result:0.8846114277839661; start:2023-09-30 19:31:50.082384; end:2023-09-30 19:31:52.551362.
model:<class 'src.model_processors.LabseModelProcessor'>; metric:calculate_UDM;                     result:0.5264663100242615; start:2023-09-30 19:32:04.269298; end:2023-09-30 19:32:06.733470.
model:<class 'src.model_processors.E5ModelProcessor'>; metric:calculate_PAR;                     result:0.07810299843549728; start:2023-09-30 19:31:52.606848; end:2023-09-30 19:36:51.227034.
model:<class 'src.model_processors.LabseModelProcessor'>; metric:calculate_PAR;                     result:0.2561231851577759; start:2023-09-30 19:32:06.787902; end:2023-09-30 19:37:04.942481.
model:<class 'src.model_processors.E5ModelProcessor'>; metric:calculate_TOX;                     result:ERROR; start:2023-09-30 19:36:51.237045; end:2023-09-30 20:27:17.347467.
model:<class 'src.model_processors.LabseModelProcessor'>; metric:calculate_TOX;                     result:ERROR; start:2023-09-30 19:37:04.952280; end:2023-09-30 20:28:08.085081.
model:<class 'src.model_processors.LabseModelProcessor'>; metric:calculate_SUM;                     result:0.6001555919647217; start:2023-09-30 20:28:08.163089; end:2023-09-30 21:10:44.468033.
model:<class 'src.model_processors.E5ModelProcessor'>; metric:calculate_SUM;                     result:0.9242780804634094; start:2023-09-30 20:27:17.427068; end:2023-09-30 21:10:50.833210.
model:<class 'src.model_processors.LabseModelProcessor'>; metric:calculate_MGP;                     result:ERROR; start:2023-09-30 21:10:44.480210; end:2023-09-30 22:19:47.872529.
model:<class 'src.model_processors.E5ModelProcessor'>; metric:calculate_MGP;                     result:ERROR; start:2023-09-30 21:10:50.846291; end:2023-09-30 22:19:53.263023.
model:<class 'src.model_processors.E5ModelProcessor'>; metric:calculate_UDM;                     result:0.8846114277839661; start:2023-10-01 12:25:54.641939; end:2023-10-01 12:25:57.056815.
model:<class 'src.model_processors.E5ModelProcessor'>; metric:calculate_TOX;                     result:0.7654207885199686; start:2023-10-01 19:35:34.239357; end:2023-10-01 19:48:44.002848.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_TOX;                     result:0.7280679663395483; start:2023-10-01 21:13:04.422567; end:2023-10-01 22:01:24.689338.
model:<class 'src.model_processors.T5ModelProcessor'>; metric:calculate_TOX;                     result:0.7756255637037875; start:2023-10-01 21:12:37.246551; end:2023-10-01 22:04:47.729714.
model:<class 'src.model_processors.MinilmModelProcessor'>; metric:calculate_TOX;                     result:0.7993440459734976; start:2023-10-01 21:13:17.058150; end:2023-10-01 22:04:50.854452.
model:<class 'src.model_processors.InstructorModelProcessor'>; metric:calculate_TOX;                     result:0.7948728055388836; start:2023-10-01 21:12:58.228512; end:2023-10-01 22:06:03.868307.
model:<class 'src.model_processors.E5ModelProcessor'>; metric:calculate_TOX;                     result:0.8235288164780954; start:2023-10-01 21:13:41.106308; end:2023-10-01 22:06:21.195247.
model:<class 'src.model_processors.LabseModelProcessor'>; metric:calculate_TOX;                     result:0.8006180008385501; start:2023-10-01 21:14:25.173402; end:2023-10-01 22:07:02.621076.
model:<class 'src.model_processors.T5ModelProcessor'>; metric:calculate_MGP;                     result:0.21480439632153064; start:2023-10-01 22:04:47.742080; end:2023-10-01 23:16:20.064722.
model:<class 'src.model_processors.GloveModelProcessor'>; metric:calculate_MGP;                     result:0.09244441837828313; start:2023-10-01 22:11:31.334171; end:2023-10-01 23:17:00.682089.
model:<class 'src.model_processors.MinilmModelProcessor'>; metric:calculate_MGP;                     result:0.27164321587808127; start:2023-10-01 22:10:59.784298; end:2023-10-01 23:21:54.343609.
model:<class 'src.model_processors.E5ModelProcessor'>; metric:calculate_MGP;                     result:0.265433702914082; start:2023-10-01 22:10:17.728984; end:2023-10-01 23:22:18.364925.
model:<class 'src.model_processors.LabseModelProcessor'>; metric:calculate_MGP;                     result:0.24072340281686921; start:2023-10-01 22:10:09.400281; end:2023-10-01 23:22:19.228455.
model:<class 'src.model_processors.InstructorModelProcessor'>; metric:calculate_MGP;                     result:0.2954765434204026; start:2023-10-01 22:10:41.330085; end:2023-10-01 23:26:41.446953.
